subSaharan,year,african,other,east
200,1990,230,1410,705
205,1991,240,1410,696
210,1992,250,1410,688
212,1993,252,1410,680
215,1994,255,1410,610
220,1995,260,1350,540
230,1996,268,1340,460
226,1997,264,1320,467
232,1998,270,1300,474
231,1999,270,1330,481
237,2000,274,1360,490
240,2001,270,1260,435
238,2002,268,1160,385
236,2003,273,1040,330
238,2004,278,960,275
239,2005,280,900,215
235,2006,278,860,205
234,2007,274,815,195
232,2008,270,775,180
232,2009,272,720,153
230,2010,260,680,128
235,2011,274,620,100
237,2012,275,580,70
235,2013,275,500,62
240,2014,280,490,54
240,2015,284,450,45
